photoId,bucket,overallValues,overallMean,overallRange,overallSd,largestDimensionRange,largestDimension
photo-01,strong_high_score,7.4/7.5/7.5/7.5/7.5,7.48,0.1,0.04,0.5,technical
photo-02,ordinary_record,5/5/5/5/5,5,0,0,0.5,technical
photo-03,hard_flaw_low_score,4.5/4.5/4.5/4.5/4.5,4.5,0,0,1,technical
photo-04,orientation_or_basic_failure,5/5.8/5.6/5.8/5,5.44,0.8,0.367,1,story
photo-05,intent_boundary,4.5/4.5/4.5/5/4.5,4.6,0.5,0.2,1.5,lighting
photo-06,night_street_light,7.5/7.5/7.4/7.5/7.5,7.48,0.1,0.04,0.5,composition
photo-07,strong_night_street,7.8/7.7/7.8/7.8/7.5,7.72,0.3,0.117,0.5,composition
photo-08,strong_landscape,6.6/7/6.3/6.6/6.5,6.6,0.7,0.228,1.2,story
photo-09,strong_garden_composition,6.3/5/5/5/6.1,5.48,1.3,0.591,1.5,composition
photo-10,missed_focus_low_score,5.5/4.5/5.5/5/4,4.9,1.5,0.583,2,technical
photo-11,ordinary_signage_record,4.5/4.5/4.8/4.5/4.5,4.56,0.3,0.12,0.5,technical
photo-12,screen_record_hard_flaw,4.5/4.8/5/4.8/5,4.82,0.5,0.183,1,story
photo-13,animal_subject_weak,4.8/5/4.5/5/5,4.86,0.5,0.196,0.5,technical
photo-14,ordinary_window_view,5/4.8/4.5/5/4.8,4.82,0.5,0.183,1,story
photo-15,orientation_architecture,5.6/5.8/4.5/5.5/4.5,5.18,1.3,0.564,1.3,overall
photo-16,orientation_still_life,5/5/5/5.8/6.5,5.46,1.5,0.605,1.5,story
photo-17,low_light_technical_failure,5/5/5.5/5/5,5.1,0.5,0.2,0.5,technical
photo-18,silhouette_intent_boundary,5/6.2/5.8/5/6,5.6,1.2,0.506,1.7,lighting
photo-19,food_record_mid_score,5.4/5/5/5/5,5.08,0.4,0.16,0.5,composition
photo-20,animal_record_mid_score,5.2/5/5/5/5,5.04,0.2,0.08,0.5,technical
