photoId,bucket,basicAgreement,capAgreement,highScoreAgreement,issueJaccard,top3Overlap,firstPriorityAgreement,recommendationJaccard
photo-01,strong_high_score,1,1,1,0.643,0.867,0.8,0.729
photo-02,ordinary_record,1,0.6,1,0.827,0.633,0.8,0.676
photo-03,hard_flaw_low_score,1,1,1,0.671,0.767,1,0.782
photo-04,orientation_or_basic_failure,1,0.4,1,0.676,0.667,0.6,0.543
photo-05,intent_boundary,1,0.2,1,0.606,0.733,1,0.462
photo-06,night_street_light,0.6,1,1,0.827,0.867,0.8,0.649
photo-07,strong_night_street,1,1,1,0.791,0.733,0.6,0.895
photo-08,strong_landscape,0.8,1,0.8,0.822,0.733,1,0.671
photo-09,strong_garden_composition,1,0.6,1,0.606,0.433,0.6,0.747
photo-10,missed_focus_low_score,0.6,0.2,1,0.556,0.767,0.8,0.565
photo-11,ordinary_signage_record,1,0.8,1,0.844,0.8,1,0.671
photo-12,screen_record_hard_flaw,1,0.6,1,0.711,0.333,0.4,0.451
photo-13,animal_subject_weak,1,0.6,1,0.778,0.867,1,0.663
photo-14,ordinary_window_view,1,1,1,0.911,0.867,1,0.711
photo-15,orientation_architecture,0.6,0.8,1,0.911,0.667,1,0.778
photo-16,orientation_still_life,1,0.6,1,0.583,0.633,0.8,0.661
photo-17,low_light_technical_failure,1,0.8,1,0.621,1,0.6,0.797
photo-18,silhouette_intent_boundary,1,0.6,1,0.399,0.4,0.6,0.678
photo-19,food_record_mid_score,1,1,1,0.657,0.567,1,0.729
photo-20,animal_record_mid_score,1,1,1,0.671,0.567,1,0.657
